iter	RMSE
0	21.87480726
1	21.14298494
2	20.48959037
3	19.89636458
4	19.36891701
5	18.90395507
6	18.48445472
7	18.1037149
8	17.74477307
9	17.44850007
10	17.17717875
11	16.93624658
12	16.681181
13	16.45195223
14	16.24790191
15	16.06480367
16	15.91600237
17	15.7722257
18	15.63392065
19	15.50229774
20	15.38414983
21	15.28351463
22	15.18879915
23	15.1049402
24	15.03631949
25	14.96095647
26	14.87713673
27	14.80555932
28	14.74667394
29	14.67650439
30	14.62092882
31	14.56299862
32	14.51625857
33	14.4759459
34	14.42767999
35	14.37979001
36	14.33331019
37	14.30061577
38	14.26558311
39	14.22838491
40	14.19148625
41	14.15435629
42	14.12125822
43	14.08717471
44	14.06244946
45	14.03315847
46	13.99727184
47	13.98152149
48	13.96860276
49	13.93907604
50	13.91158262
51	13.87999359
52	13.86016923
53	13.83647447
54	13.81736652
55	13.79576212
56	13.77314889
57	13.74215548
58	13.72002531
59	13.69503668
60	13.67703862
61	13.64968909
62	13.62611637
63	13.60631484
64	13.58772732
65	13.57206619
66	13.56146581
67	13.54212774
68	13.52326186
69	13.50743249
70	13.49581135
71	13.47950901
72	13.46039759
73	13.44269517
74	13.42561251
75	13.41270514
76	13.39329809
77	13.37525268
78	13.36546221
79	13.34736784
80	13.33119579
81	13.3200744
82	13.31022298
83	13.29694697
84	13.28497061
85	13.2682347
86	13.24993915
87	13.23832258
88	13.2284215
89	13.2199468
90	13.20194136
91	13.18747251
92	13.18060285
93	13.1605165
94	13.15063022
95	13.1424077
96	13.13322353
97	13.12182357
98	13.10791973
99	13.0969792
100	13.0875703
101	13.07647302
102	13.0668234
103	13.05814993
104	13.04921875
105	13.03546935
106	13.02855709
107	13.01589384
108	13.00187343
109	12.99030122
110	12.98247206
111	12.97474017
112	12.95487104
113	12.94679364
114	12.93821048
115	12.93254459
116	12.92198311
117	12.90676549
118	12.89616856
119	12.8839354
120	12.87919595
121	12.86449125
122	12.85449666
123	12.84467239
124	12.8327108
125	12.82678972
126	12.82089443
127	12.81222491
128	12.80278468
129	12.79323346
130	12.78025981
131	12.76919487
132	12.76189226
133	12.75403303
134	12.74808368
135	12.74010924
136	12.72564782
137	12.71903762
138	12.71218363
139	12.70073127
140	12.68901145
141	12.67727985
142	12.67026138
143	12.66305121
144	12.65300319
145	12.64139201
146	12.62881762
147	12.61765377
148	12.60817928
149	12.60243051
150	12.5953593
151	12.58358414
152	12.57046513
153	12.56278118
154	12.55263395
155	12.54282315
156	12.530735
157	12.52100922
158	12.51062006
159	12.50084168
160	12.49202545
161	12.48141873
162	12.47051843
163	12.46061832
164	12.45526777
165	12.44754966
166	12.43982446
167	12.43310142
168	12.42487556
169	12.41368915
170	12.40319346
171	12.39228217
172	12.38460801
173	12.37025429
174	12.35534655
175	12.34917863
176	12.33460428
177	12.3264264
178	12.31506757
179	12.30659104
180	12.29917146
181	12.28568197
182	12.27720395
183	12.27181093
184	12.26644724
185	12.25466397
186	12.24424092
187	12.23474508
188	12.2248842
189	12.2170082
190	12.20886556
191	12.20354876
192	12.19343026
193	12.18595569
194	12.17377244
195	12.16282929
196	12.15559812
197	12.14838871
198	12.13848094
199	12.12889109
200	12.11915629
201	12.10856813
202	12.10248798
203	12.09374602
204	12.08618056
205	12.07978295
206	12.07317793
207	12.06908807
208	12.06509306
209	12.05673595
210	12.04871749
211	12.0392822
212	12.03049435
213	12.02274762
