iter	Passed	Remaining
144	663	3911
145	667	3903
146	671	3897
147	676	3896
148	681	3891
149	685	3883
150	689	3875
151	694	3873
152	698	3866
153	702	3857
154	708	3862
155	714	3863
156	719	3864
157	727	3877
158	734	3883
159	742	3896
160	748	3902
161	757	3917
162	764	3923
163	772	3938
164	779	3943
165	785	3948
166	793	3959
167	800	3964
168	808	3976
169	815	3981
170	823	3991
171	830	3996
172	838	4009
173	846	4020
174	855	4032
175	861	4035
176	870	4045
177	877	4050
178	885	4063
179	892	4067
180	900	4073
181	907	4076
182	914	4082
183	921	4088
184	928	4089
185	936	4099
186	943	4102
187	951	4109
188	958	4111
189	967	4124
190	977	4139
191	987	4156
192	998	4174
193	1010	4198
194	1020	4213
195	1027	4216
196	1036	4224
197	1043	4227
198	1051	4233
199	1059	4237
200	1068	4245
201	1075	4249
202	1084	4256
203	1090	4255
204	1096	4251
205	1101	4245
206	1106	4239
207	1115	4247
208	1122	4247
209	1130	4254
210	1139	4260
211	1148	4267
212	1155	4269
213	1166	4284
214	1173	4285
215	1182	4291
216	1189	4291
217	1194	4284
218	1198	4275
219	1203	4266
220	1207	4255
221	1212	4249
222	1216	4237
223	1220	4227
224	1224	4217
225	1229	4209
226	1233	4198
227	1237	4189
228	1241	4180
229	1246	4172
230	1250	4162
231	1254	4151
232	1260	4148
233	1263	4137
234	1267	4127
235	1271	4116
236	1278	4115
237	1282	4105
238	1285	4094
239	1291	4089
240	1295	4079
241	1299	4069
242	1303	4060
243	1308	4053
244	1312	4044
245	1316	4035
246	1320	4026
247	1325	4019
248	1333	4023
249	1338	4015
250	1342	4004
251	1345	3995
252	1349	3985
253	1356	3984
254	1360	3974
255	1364	3965
256	1368	3956
257	1373	3948
258	1377	3941
259	1381	3932
260	1386	3925
261	1390	3917
262	1395	3909
263	1399	3902
264	1403	3893
265	1407	3885
266	1412	3876
267	1417	3870
268	1421	3861
269	1425	3853
270	1430	3846
271	1435	3841
272	1439	3833
273	1443	3825
274	1449	3821
275	1453	3813
276	1457	3805
277	1461	3796
278	1466	3790
279	1471	3783
280	1475	3775
281	1480	3768
282	1483	3759
283	1488	3753
284	1493	3747
285	1499	3743
286	1504	3736
287	1508	3729
288	1514	3724
289	1517	3716
290	1521	3707
291	1525	3699
292	1530	3694
293	1534	3685
294	1538	3677
295	1542	3669
296	1547	3663
297	1551	3655
298	1555	3646
299	1561	3643
300	1565	3635
301	1569	3627
302	1573	3620
303	1579	3616
304	1583	3608
305	1587	3601
306	1591	3593
307	1596	3587
308	1600	3579
309	1605	3572
310	1610	3567
311	1614	3559
312	1618	3551
313	1622	3545
314	1627	3539
315	1631	3532
316	1635	3524
317	1640	3517
318	1644	3511
319	1648	3503
320	1652	3496
321	1657	3489
322	1661	3483
323	1665	3475
324	1669	3468
325	1674	3462
326	1678	3455
327	1683	3448
328	1687	3440
329	1692	3435
330	1696	3428
331	1700	3420
332	1704	3413
333	1709	3407
334	1713	3400
335	1717	3393
336	1721	3386
337	1725	3379
338	1729	3372
339	1733	3365
340	1738	3360
341	1742	3352
342	1746	3345
343	1750	3338
344	1755	3333
345	1759	3326
346	1763	3319
347	1767	3311
348	1772	3306
349	1776	3299
350	1780	3291
351	1784	3284
352	1789	3279
353	1793	3272
354	1797	3265
355	1801	3258
356	1805	3252
357	1809	3245
358	1813	3238
359	1817	3231
360	1822	3226
361	1826	3219
362	1830	3212
363	1836	3208
364	1840	3201
365	1843	3194
366	1848	3187
367	1853	3182
368	1857	3175
369	1861	3168
370	1865	3161
371	1872	3160
372	1876	3155
373	1881	3148
374	1886	3144
375	1890	3137
376	1895	3131
377	1900	3126
378	1904	3120
379	1908	3114
380	1913	3108
381	1918	3103
382	1922	3097
383	1926	3090
384	1930	3084
385	1935	3078
386	1938	3071
387	1943	3065
388	1948	3060
389	1952	3054
390	1956	3047
391	1960	3041
392	1965	3036
393	1969	3029
394	1973	3023
395	1977	3016
396	1982	3011
397	1986	3004
398	1991	3000
399	1997	2996
400	2001	2989
401	2006	2984
402	2010	2977
403	2015	2973
404	2019	2967
405	2023	2961
406	2028	2956
407	2032	2949
408	2036	2943
409	2040	2936
410	2045	2931
411	2049	2925
412	2054	2919
413	2057	2912
414	2062	2907
415	2066	2901
416	2070	2895
417	2074	2888
418	2079	2883
419	2083	2877
420	2087	2870
421	2091	2864
422	2096	2859
423	2100	2853
424	2104	2847
425	2109	2843
426	2114	2837
427	2118	2831
428	2123	2826
429	2128	2822
430	2133	2816
431	2137	2810
432	2142	2805
433	2146	2799
434	2150	2793
435	2154	2786
436	2159	2781
437	2163	2775
438	2167	2769
439	2171	2763
440	2176	2758
441	2180	2752
442	2184	2746
443	2188	2740
444	2193	2735
445	2197	2729
446	2201	2723
447	2206	2718
448	2210	2712
449	2214	2706
450	2219	2701
451	2224	2697
452	2229	2691
453	2233	2686
454	2238	2681
455	2242	2675
456	2246	2669
457	2250	2663
458	2255	2658
459	2260	2654
460	2265	2649
461	2270	2643
462	2275	2639
463	2279	2633
464	2284	2627
465	2289	2623
466	2294	2618
467	2299	2614
468	2308	2613
469	2314	2609
470	2321	2607
471	2326	2602
472	2330	2596
473	2336	2593
474	2341	2588
475	2346	2582
476	2352	2579
477	2357	2574
478	2361	2568
479	2366	2563
480	2371	2559
481	2376	2553
482	2380	2548
483	2385	2543
484	2389	2537
485	2393	2531
486	2398	2526
487	2403	2521
488	2407	2515
489	2411	2509
490	2416	2504
491	2420	2499
492	2424	2493
493	2428	2487
494	2434	2483
495	2438	2477
496	2442	2471
497	2446	2465
498	2451	2460
499	2454	2454
500	2459	2449
501	2464	2444
502	2468	2439
503	2472	2433
504	2478	2429
505	2483	2424
506	2488	2419
507	2492	2413
508	2497	2409
509	2501	2403
510	2505	2397
511	2509	2391
512	2514	2387
513	2518	2381
514	2522	2375
515	2526	2370
516	2531	2365
517	2536	2359
518	2540	2354
519	2545	2349
520	2550	2344
521	2553	2338
522	2557	2332
523	2563	2328
524	2567	2322
525	2570	2316
526	2574	2311
527	2580	2306
528	2583	2300
529	2587	2294
530	2592	2289
531	2596	2284
532	2600	2278
533	2604	2273
534	2609	2268
535	2613	2262
536	2617	2257
537	2622	2251
538	2627	2247
539	2631	2241
540	2635	2236
541	2639	2230
542	2646	2226
543	2650	2221
544	2654	2215
545	2660	2212
546	2664	2206
547	2669	2201
548	2674	2197
549	2679	2192
550	2684	2187
551	2688	2182
552	2695	2179
553	2700	2173
554	2705	2169
555	2709	2163
556	2714	2158
557	2719	2153
558	2724	2149
559	2729	2144
560	2734	2139
561	2740	2135
562	2745	2130
563	2750	2126
564	2756	2122
565	2761	2117
566	2766	2112
567	2772	2108
568	2778	2104
569	2783	2100
570	2790	2096
571	2797	2093
572	2803	2089
573	2810	2085
574	2816	2081
575	2823	2078
576	2829	2074
577	2836	2070
578	2842	2066
579	2848	2062
580	2855	2058
581	2860	2054
582	2866	2050
583	2873	2046
584	2879	2042
585	2886	2038
586	2891	2034
587	2897	2029
588	2904	2026
589	2909	2022
590	2915	2017
591	2922	2013
592	2928	2009
593	2934	2005
594	2939	2001
595	2945	1996
596	2951	1992
597	2956	1987
598	2962	1982
599	2967	1978
600	2972	1973
601	2978	1968
602	2984	1964
603	2989	1959
604	2994	1954
605	3000	1950
606	3004	1945
607	3009	1940
608	3015	1935
609	3019	1930
610	3025	1926
611	3032	1922
612	3037	1917
613	3042	1912
614	3048	1908
615	3052	1902
616	3057	1897
617	3061	1892
618	3066	1887
619	3071	1882
620	3075	1877
621	3080	1872
622	3086	1867
623	3091	1862
624	3097	1858
625	3102	1853
626	3107	1848
627	3114	1844
628	3119	1839
629	3123	1834
630	3130	1830
631	3134	1825
632	3139	1820
633	3146	1816
634	3150	1811
635	3155	1805
636	3160	1801
637	3165	1796
638	3170	1791
639	3176	1786
640	3180	1781
641	3185	1776
642	3189	1770
643	3195	1766
644	3199	1761
645	3204	1755
646	3210	1751
647	3214	1746
648	3219	1740
649	3226	1737
650	3230	1732
651	3236	1727
652	3243	1723
653	3248	1718
654	3253	1713
655	3260	1709
656	3264	1704
657	3269	1699
658	3276	1695
659	3280	1690
660	3285	1685
661	3292	1680
662	3296	1675
663	3302	1670
664	3308	1666
665	3312	1661
666	3317	1656
667	3323	1651
668	3327	1646
669	3332	1641
670	3338	1636
671	3342	1631
672	3347	1626
673	3351	1621
674	3357	1616
675	3362	1611
676	3366	1606
677	3372	1601
678	3377	1596
679	3382	1591
680	3388	1587
681	3393	1582
682	3398	1577
683	3404	1573
684	3411	1568
685	3416	1563
686	3422	1559
687	3427	1554
688	3431	1549
689	3438	1544
690	3443	1539
691	3447	1534
692	3453	1530
693	3458	1524
694	3463	1519
695	3469	1515
696	3474	1510
697	3478	1505
698	3484	1500
699	3489	1495
700	3493	1490
701	3498	1485
702	3503	1480
703	3508	1475
704	3513	1470
705	3520	1466
706	3524	1460
707	3529	1455
708	3535	1450
709	3540	1445
710	3545	1441
711	3552	1436
712	3557	1431
713	3562	1426
714	3568	1422
715	3573	1417
716	3578	1412
717	3584	1407
718	3589	1402
719	3593	1397
720	3600	1393
721	3605	1388
722	3610	1383
723	3616	1378
724	3621	1373
725	3625	1368
726	3632	1363
727	3636	1358
728	3641	1353
729	3647	1348
730	3651	1343
731	3656	1338
732	3660	1333
733	3665	1328
734	3670	1323
735	3674	1318
736	3680	1313
737	3685	1308
738	3689	1303
739	3694	1298
740	3698	1292
741	3702	1287
742	3707	1282
743	3712	1277
744	3716	1272
745	3720	1266
746	3724	1261
747	3729	1256
748	3733	1251
749	3737	1245
750	3742	1240
751	3747	1235
752	3750	1230
753	3754	1225
754	3760	1220
755	3764	1214
756	3768	1209
757	3772	1204
758	3777	1199
759	3781	1194
760	3785	1188
761	3789	1183
762	3796	1179
763	3800	1173
764	3804	1168
765	3809	1163
766	3814	1158
767	3818	1153
768	3824	1148
769	3828	1143
770	3832	1138
771	3836	1133
772	3841	1128
773	3845	1122
774	3850	1117
775	3855	1112
776	3859	1107
777	3864	1102
778	3869	1097
779	3874	1092
780	3878	1087
781	3882	1082
782	3887	1077
783	3892	1072
784	3896	1067
785	3900	1061
786	3905	1056
787	3909	1051
788	3913	1046
789	3917	1041
790	3922	1036
791	3926	1031
792	3930	1026
793	3935	1021
794	3939	1015
795	3943	1010
796	3947	1005
797	3952	1000
798	3956	995
799	3961	990
800	3965	985
801	3969	980
802	3973	974
803	3977	969
804	3983	964
805	3987	959
806	3991	954
807	3996	949
808	4000	944
809	4004	939
810	4009	934
811	4014	929
812	4018	924
813	4022	919
814	4026	913
815	4031	909
816	4035	903
817	4039	898
818	4044	893
819	4048	888
820	4052	883
821	4056	878
822	4061	873
823	4065	868
824	4070	863
825	4074	858
826	4080	853
827	4084	848
828	4088	843
829	4093	838
830	4098	833
831	4102	828
832	4106	823
833	4112	818
834	4116	813
835	4120	808
836	4125	803
837	4129	798
838	4134	793
839	4138	788
840	4143	783
841	4147	778
842	4151	773
843	4155	768
844	4160	763
845	4164	758
846	4168	753
847	4172	747
848	4177	742
849	4181	737
850	4188	733
851	4193	728
852	4197	723
853	4201	718
854	4206	713
855	4210	708
856	4214	703
857	4218	698
858	4223	693
859	4227	688
860	4231	683
861	4236	678
862	4241	673
863	4246	668
864	4250	663
865	4255	658
866	4259	653
867	4263	648
868	4267	643
869	4272	638
870	4276	633
871	4281	628
872	4285	623
873	4290	618
874	4294	613
875	4298	608
876	4303	603
877	4307	598
878	4311	593
879	4315	588
880	4320	583
881	4325	578
882	4329	573
883	4333	568
884	4338	563
885	4342	558
886	4346	553
887	4352	548
888	4356	543
889	4360	538
890	4364	533
891	4369	529
892	4373	524
893	4377	519
894	4381	514
895	4386	509
896	4390	504
897	4394	499
898	4399	494
899	4404	489
900	4408	484
901	4412	479
902	4417	474
903	4421	469
904	4426	464
905	4433	459
906	4438	455
907	4443	450
908	4450	445
909	4454	440
910	4460	435
911	4467	431
912	4472	426
913	4477	421
914	4485	416
915	4490	411
916	4497	407
917	4501	402
918	4506	397
919	4512	392
920	4517	387
921	4521	382
922	4526	377
923	4531	372
924	4535	367
925	4539	362
926	4543	357
927	4549	352
928	4553	348
929	4558	343
930	4563	338
931	4567	333
932	4571	328
933	4577	323
934	4582	318
935	4587	313
936	4591	308
937	4596	303
938	4601	298
939	4605	293
940	4611	289
941	4616	284
942	4621	279
943	4626	274
944	4631	269
945	4635	264
946	4641	259
947	4646	254
948	4650	249
949	4655	245
950	4661	240
951	4665	235
952	4670	230
953	4675	225
954	4680	220
955	4686	215
956	4692	210
957	4697	205
958	4702	201
959	4708	196
960	4713	191
961	4718	186
962	4724	181
963	4728	176
964	4733	171
965	4739	166
966	4743	161
967	4748	156
968	4754	152
969	4759	147
970	4763	142
971	4767	137
972	4773	132
973	4777	127
974	4782	122
975	4788	117
976	4793	112
977	4797	107
978	4803	103
979	4808	98
980	4813	93
981	4819	88
982	4824	83
983	4829	78
984	4834	73
985	4839	68
986	4844	63
987	4849	58
988	4855	54
989	4860	49
990	4865	44
991	4871	39
992	4876	34
993	4881	29
994	4887	24
995	4891	19
996	4896	14
997	4902	9
998	4907	4
999	4912	0
